category,titleType,Title,Adult,l'année,Durée,Genre,Acteur/Actrice,Rating,NumberVote
actor,movie,Köroglu-Türkan Sultan,0,1953,\N,"Drama,Romance",Ziya Aygen,10.0,8
actor,movie,Namhin,0,2021,18,Drama,Sudipta Dutta,10.0,9
actress,movie,Namhin,0,2021,18,Drama,Simran Dey,10.0,9
actor,movie,Namhin,0,2021,18,Drama,Arit Dey,10.0,9
actor,movie,Namhin,0,2021,18,Drama,Debojit Das,10.0,9
actor,movie,Namhin,0,2021,18,Drama,Soumo Roy Chowdhury,10.0,9
actress,movie,Swapnaloka,0,2023,100,Drama,Annapurna KK,10.0,13
actor,movie,Poets Are the Destroyers,0,2021,\N,Drama,Shepsi Haider,10.0,7
actor,movie,Poets Are the Destroyers,0,2021,\N,Drama,Pablo Javier Alfaro,10.0,7
actor,movie,Amends of the Father,0,2023,\N,Drama,Christopher Quartuccio,10.0,7
actor,movie,Amends of the Father,0,2023,\N,Drama,Stephen Sorrentino,10.0,7
actor,movie,Amends of the Father,0,2023,\N,Drama,Jonathan P. Chen,10.0,7
actor,movie,When Time Passes,0,2024,53,Documentary,Nikoloz Chikovani,10.0,6
actor,movie,When Time Passes,0,2024,53,Documentary,Giorgi Chikovani,10.0,6
actor,movie,When Time Passes,0,2024,53,Documentary,Tamar Zakariadze,10.0,6
actor,movie,When Time Passes,0,2024,53,Documentary,Lali Sirbiladze,10.0,6
actor,movie,When Time Passes,0,2024,53,Documentary,Dalila Nazarishvili,10.0,6
actor,movie,When Time Passes,0,2024,53,Documentary,Almira Meladze,10.0,6
actor,movie,When Time Passes,0,2024,53,Documentary,Nani Madzagua,10.0,6
actor,movie,When Time Passes,0,2024,53,Documentary,Paata Khipiani,10.0,6
actor,movie,When Time Passes,0,2024,53,Documentary,Tsotne Chikovani,10.0,6
actor,movie,When Time Passes,0,2024,53,Documentary,Otar Chikovani,10.0,6
actress,movie,The Heretics of London: The Smithfield Martyrs,0,2022,80,Documentary,Joanne Summerscales,10.0,6
actor,movie,Ormachithram,0,2024,124,\N,Sivadas Mattannur,10.0,12
actor,movie,Ormachithram,0,2024,124,\N,Harikrishnan,10.0,12
actress,movie,Kwetu,0,2024,75,Drama,Saïd Amor Sabrah,10.0,7
actor,movie,Kwetu,0,2024,75,Drama,Hakizimana Olivier,10.0,7
actress,movie,Ormachithram,0,2024,124,\N,Kavitha Biju,10.0,12
actor,movie,Ormachithram,0,2024,124,\N,Prasanth Punnapra,10.0,12
actor,movie,Ormachithram,0,2024,124,\N,Nasser Latif,10.0,12
actress,movie,Ormachithram,0,2024,124,\N,Meera Nair,10.0,12
actor,movie,Ormachithram,0,2024,124,\N,Sidhendra Chokkalingam,10.0,12
actress,movie,Kwetu,0,2024,75,Drama,Kenguruka Clara,10.0,7
actress,movie,Kwetu,0,2024,75,Drama,Munezero Ange Cheïlla,10.0,7
actress,movie,Kwetu,0,2024,75,Drama,Sandra Butoyi,10.0,7
actress,movie,Kwetu,0,2024,75,Drama,Kathia Mashakarugo,10.0,7
actress,movie,Kwetu,0,2024,75,Drama,Martine Orly Kaze,10.0,7
actress,movie,Kwetu,0,2024,75,Drama,Mise Dorel Barungura,10.0,7
actor,movie,Kwetu,0,2024,75,Drama,Olol'enyanya Banywerha Arnold,10.0,7
actor,movie,Kwetu,0,2024,75,Drama,Noé Mbonayo Maxim,10.0,7
actor,movie,Kaveri,0,2024,101,Action,Prashanth Kumar Reddy,10.0,1035
actor,movie,Kaveri,0,2024,101,Action,Sudhir Reddy Gujjula,10.0,1035
actor,movie,Kaveri,0,2024,101,Action,Faizel Ahmed,10.0,1035
actress,movie,Kaveri,0,2024,101,Action,Kushi Yadav,10.0,1035
actor,movie,Kaveri,0,2024,101,Action,Risitha Nellore,10.0,1035
actor,movie,Kaveri,0,2024,101,Action,Shaik Allabakashu,10.0,1035
actor,movie,Sing to Speak,0,2020,80,"Comedy,Drama,Musical",David Callanan,10.0,129
actor,movie,Sing to Speak,0,2020,80,"Comedy,Drama,Musical",Samuel Caswell,10.0,129
actor,movie,Sing to Speak,0,2020,80,"Comedy,Drama,Musical",Nino Ruggeri,10.0,129
actress,movie,Amends of the Father,0,2023,\N,Drama,Shirley Bryant,10.0,7
actor,movie,Amends of the Father,0,2023,\N,Drama,Charlie Alguera,10.0,7
actor,movie,Amends of the Father,0,2023,\N,Drama,Charlie Alguera,10.0,7
actress,movie,Amends of the Father,0,2023,\N,Drama,Samantha Peitz,10.0,7
actor,movie,Amends of the Father,0,2023,\N,Drama,Randy Jones,10.0,7
actress,movie,Amends of the Father,0,2023,\N,Drama,Candy Clark,10.0,7
actress,movie,Ormachithram,0,2024,124,\N,Manasa Radhakrishnan,10.0,12
actress,movie,Sistas Conversation,0,2020,64,Documentary,Michele Lee Clarke-Ceres,10.0,9
actress,movie,Sistas Conversation,0,2020,64,Documentary,Rosemary Chase,10.0,9
actress,movie,Sistas Conversation,0,2020,64,Documentary,Tonye Briggs,10.0,9
actress,movie,I Do Not Know What City Happens in His Eyes,0,2019,74,"Biography,Documentary,Family",Moradores Do Quilombo Vila Nova,10.0,12
actor,movie,I Do Not Know What City Happens in His Eyes,0,2019,74,"Biography,Documentary,Family",João Mendonça,10.0,12
actor,movie,In Search of Life,0,2016,132,"Adventure,Drama,Sci-Fi",Aadi Jain,10.0,5
actor,movie,In Search of Life,0,2016,132,"Adventure,Drama,Sci-Fi",Soham Singh Wala,10.0,5
actor,movie,Amends of the Father,0,2023,\N,Drama,Josh Philip Weinstein,10.0,7
actor,movie,Skhvatka,0,2024,107,Action,Sergey Bondarenko,10.0,6
